temp_avg_gap,hum_avg_gap,temp_max_min,temp_min_max,hum_max_min,hum_min_max,status,work
0.08,-0.02,0.2,0.0,0.0,-0.1,21,1
0.08,-0.12,0.2,0.0,-0.1,-0.2,21,1
0.06,0.02,0.1,0.0,0.1,0.0,21,1
0.08,-0.14,0.1,0.0,-0.1,-0.2,21,1
0.1,-0.14,0.2,0.0,0.0,-0.2,21,1
0.12,-0.2,0.3,0.0,-0.1,-0.4,21,1
0.16,-0.26,0.3,0.0,-0.1,-0.4,21,1
0.1,-0.22,0.2,0.0,-0.1,-0.4,21,1
0.1,-0.02,0.1,0.1,0.1,-0.1,21,1
0.04,-0.08,0.1,0.0,0.0,-0.2,21,1
0.1,-0.08,0.2,0.0,0.0,-0.1,21,1
0.1,-0.06,0.2,0.0,0.0,-0.2,21,1
0.04,-0.06,0.1,0.0,0.0,-0.1,21,1
0.06,-0.1,0.1,0.0,-0.1,-0.1,21,1
0.08,-0.02,0.2,0.0,0.0,-0.1,21,1
0.08,-0.1,0.1,0.0,0.0,-0.2,21,1
0.1,-0.06,0.1,0.1,0.1,-0.1,21,1
0.06,-0.1,0.1,0.0,0.0,-0.2,21,1
0.1,-0.12,0.2,0.0,0.0,-0.3,21,1
0.1,-0.14,0.2,0.0,0.0,-0.3,21,1
0.14,-0.24,0.2,0.1,-0.1,-0.4,21,1
0.08,-0.18,0.1,0.0,0.0,-0.3,21,1
0.12,-0.16,0.2,0.1,0.0,-0.3,21,1
0.1,-0.12,0.1,0.1,0.0,-0.3,21,1
0.1,-0.18,0.1,0.1,0.0,-0.3,21,1
0.14,-0.34,0.2,0.1,-0.1,-0.6,21,1
0.18,-0.38,0.3,0.1,-0.1,-0.6,21,1
0.14,-0.16,0.2,0.0,0.0,-0.4,21,1
0.08,-0.2,0.2,0.0,0.0,-0.4,21,1
0.06,-0.18,0.1,0.0,0.0,-0.3,21,1
0.14,-0.16,0.2,0.1,0.0,-0.3,21,1
0.08,-0.26,0.2,0.0,-0.1,-0.5,21,1
0.14,-0.16,0.2,0.0,0.0,-0.3,21,1
0.08,-0.22,0.2,0.0,-0.1,-0.4,21,1
0.14,-0.3,0.2,0.0,-0.1,-0.5,21,1
0.1,-0.2,0.2,0.0,0.0,-0.4,21,1
0.12,-0.28,0.2,0.1,0.0,-0.5,21,1
0.12,-0.32,0.2,0.0,-0.1,-0.6,21,1
0.14,-0.32,0.3,0.0,-0.1,-0.5,21,1
0.12,-0.22,0.2,0.0,-0.1,-0.4,21,1
0.08,-0.18,0.2,0.0,0.0,-0.3,21,1
0.08,-0.18,0.2,0.0,0.0,-0.3,21,1
0.06,-0.14,0.1,0.0,0.0,-0.3,21,1
0.02,0.02,0.1,0.0,0.2,-0.1,11,1
0.0,0.4,0.0,0.0,0.7,0.1,11,1
-0.08,0.58,0.0,-0.1,1.0,0.0,11,1
-0.08,0.7,0.0,-0.2,1.3,0.3,11,1
-0.04,0.76,0.0,-0.1,1.2,0.2,11,1
-0.1,0.54,-0.1,-0.1,1.1,0.0,11,1
-0.02,0.58,0.0,-0.1,1.1,0.1,11,1
-0.04,0.88,0.1,-0.1,1.4,0.2,11,1
-0.04,0.62,0.0,-0.1,1.2,0.1,11,1
0.0,0.44,0.0,0.0,0.9,0.1,11,1
